address,endpoint,alias
0x6B1F72D45FAe62Bc56fe981754cBf73672EFD26c,eu1.cntb.kahub.in:9203,fewensa
0x3C7533361d051Fa9eA2D730FF852b7b0214E3A0F,54.250.172.141:9933,hukfrog
0x65f1430B40f18629a1cd5F3c2b7607F985E3E103,194.163.139.117:8833,guantong
