address,endpoint,alias
0x6B1F72D45FAe62Bc56fe981754cBf73672EFD26c,eu1.cntb.kahub.in:9204,fewensa
0x65f1430B40f18629a1cd5F3c2b7607F985E3E103,194.163.139.117:8844,guantong
